area,count,endTime,latitude,location,longitude,provider,siteID,startTime,usmart_id
Falkirk,70,2023-07-18T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-17T00:00:00,"a1cd6c5f97d75b9c4cca77fb34ca6386"
Falkirk,84,2023-07-26T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-07-25T00:00:00,"e17650d2bc96b2acb95f945231866fc4"
North Lanarkshire,28,2023-07-05T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-04T00:00:00,"27f7a9e24bb11f0b20b14c7d61f5824a"
North Lanarkshire,43,2023-07-11T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-10T00:00:00,"7694fb6d5d232662332451862d05d5e7"
North Lanarkshire,72,2023-07-13T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-12T00:00:00,"c1f2204a82e0567a1119911a04623056"
North Lanarkshire,107,2023-07-22T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-21T00:00:00,"cdda123d5ccfb6bc8943a5b71ad841ac"
North Lanarkshire,110,2023-07-30T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-29T00:00:00,"5fb15e6a8b11e0c2b2c86fa629309019"
North Lanarkshire,52,2023-07-31T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-07-30T00:00:00,"dbdf874abbcaa3ffe9d2347a0d3c5235"
Stirling,25,2023-07-02T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-01T00:00:00,"7304287fda0f32b4153052f617df623f"
Stirling,17,2023-07-05T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-04T00:00:00,"e84f7f10449c1d900b05599752998a24"
Stirling,14,2023-07-11T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-10T00:00:00,"19d70b0d526f6d62edff3ca9e5bcce6d"
Stirling,5,2023-07-14T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-13T00:00:00,"8fbb2d1b31bac02b05dda5628fd68655"
Stirling,8,2023-07-25T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-24T00:00:00,"4fbea5451a63f91a9fb366eedbe741c2"
Stirling,16,2023-07-27T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-26T00:00:00,"1293549fabbc35fa83037e3629213104"
Stirling,5,2023-07-28T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-07-27T00:00:00,"ec1d7c37dfe5584fb61d318458ea48f0"
Stirling,35,2023-07-07T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-06T00:00:00,"d6d36dfba51dbf613b254705dc83be8e"
Stirling,12,2023-07-16T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-15T00:00:00,"d6746fe1c453188197edc59c345093b4"
Stirling,42,2023-07-24T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-23T00:00:00,"0c5688c4dd6ad39eed652309aeef6188"
Stirling,40,2023-07-25T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-24T00:00:00,"967c79e54ddc7ad2bd442c3ff0dc1fc5"
Stirling,46,2023-07-29T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-28T00:00:00,"5b998d92fcc4d6d4e23ff8756b4fb901"
Stirling,40,2023-07-30T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-29T00:00:00,"ff51e6845ba324f409b869cffe4a8258"
Stirling,36,2023-07-31T00:00:00,56.044935,Croftamie,-4.44566,John Muir Way,JMW0200,2023-07-30T00:00:00,"77a6e3ceabc4bc4e4ca3b2f3f7c139b0"
Falkirk,86,2023-08-08T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-08-07T00:00:00,"3d875011d502be2500af89f1e75693e3"
Falkirk,70,2023-08-10T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-08-09T00:00:00,"58fb6455e20e6dc76bbffaeed9f43b22"
Falkirk,50,2023-08-19T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-08-18T00:00:00,"69c205c4feafe43028734c5400e08645"
Falkirk,35,2023-08-25T00:00:00,56.00424,Blackness,-3.5261,John Muir Way,JMW0196,2023-08-24T00:00:00,"9395fb82f9cf13cb95d7546ea1222b79"
Falkirk,29,2023-08-03T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-02T00:00:00,"327a69bc540e2cc6364ccf3161f7f40c"
Falkirk,0,2023-08-06T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-05T00:00:00,"21f4559cf793dccc4479c6c7b526dccc"
Falkirk,0,2023-08-08T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-07T00:00:00,"e58321c46495e58fc8ad39ddbd6259bd"
Falkirk,0,2023-08-13T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-12T00:00:00,"4e5a524cd12b6c57ec3db5f912fe24e1"
Falkirk,0,2023-08-15T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-14T00:00:00,"efad5b507f518fe0741b760f70b153fe"
Falkirk,0,2023-08-17T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-16T00:00:00,"fb26555b5498d28a30566ca692e15c1a"
Falkirk,0,2023-08-18T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-17T00:00:00,"c591564fb6b8301aedcf98eaacab5bd1"
Falkirk,59,2023-08-25T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-24T00:00:00,"9f015353678531f21998a82fa6feb3fd"
Falkirk,61,2023-08-29T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-28T00:00:00,"df9b61c8273439d72687ce1f9a5135b4"
Falkirk,50,2023-08-30T00:00:00,55.966366,Avon Viaduct,-3.663739,John Muir Way,JMW0197,2023-08-29T00:00:00,"569d30f4f5b3997bc4c121b58c2080b0"
North Lanarkshire,86,2023-08-06T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-08-05T00:00:00,"a74d1d82e9fdec5a7d14f9416df73fc4"
North Lanarkshire,123,2023-08-07T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-08-06T00:00:00,"cffa063c37b4bb9e8c32619344446c6e"
North Lanarkshire,86,2023-08-14T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-08-13T00:00:00,"08bf17299d05035fee66d7f4df93980b"
North Lanarkshire,114,2023-08-15T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-08-14T00:00:00,"6ecffac4cca9ac5aa487e9c8ec85737e"
North Lanarkshire,41,2023-08-26T00:00:00,55.972855,Dullatur,-4.0236,John Muir Way,JMW0198,2023-08-25T00:00:00,"1554c6d8cbe69f8bef54768e983f8be7"
Stirling,17,2023-08-02T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-01T00:00:00,"ed5d0b04b7d308d78db56cf2c51392a1"
Stirling,7,2023-08-03T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-02T00:00:00,"bf5733cc1fc0d339750875c9295cc481"
Stirling,31,2023-08-05T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-04T00:00:00,"3e5c18de30beae8a378ae6e0cc047d95"
Stirling,5,2023-08-10T00:00:00,55.980687,Carbeth,-4.36571,John Muir Way,JMW0199,2023-08-09T00:00:00,"897ee2d3c4f08fa458d10ae4a9cc17d8"
